X,Y,OBJECTID,ID,Status,MeterID,DualID,Jurisdiction,Block,Street,XStreetA,XStreetB,LocationDescription,Notes,Comments,Installed,Retired,Handicap,LinearFeet,Hours,Manufacturer,Models,MetroAreas,MeterType,NFC,Side,Rate,TourBus,TimeRestriction,AddressNumber,City,County,EstimatedOCI,LocatorAddressNumber,LocatorCity,LocatorStreet,StateValue,Replaced,TotalCost,EntryDate,cgLastModified,GeoSyncDate,Latitude,Longitude,cgGeoSyncDate,BlockFaceID,PerformanceParking,CellZone,Spaces,PricingZone,PricingSubzone,Par1MainGeneralOID
11894700.5345187,7000558.01117507,1,111,Permanently Removed,120404S,,Arlington County,300,12th ST S,ARMY NAVY DR,S EADS ST,54355 - 120404S,"FORMERLY 120300S 8/27/2020, CHANGED HOURS 12 TO 2, RATE $1.25 TO $1.50",INSTALLED 9/14/09,2009/09/14 00:00:00+00,2022/06/16 00:00:00+00,No,151,2,CALE,CWT-S4-Touch Stealth,Crystal City,Multi,No,South,1.75,No,MON - SAT 8AM - 8PM,,,,,,,,,2020/08/27 00:00:00+00,0,2019/05/09 11:42:26+00,2023/10/26 08:39:54+00,2024/10/13 02:10:31+00,38.86293569,-77.05377643,,,No,54355,7,,,111510
11879270.8317824,7007167.75254872,2,2852,Permanently Removed,QU909N,QU911N,Arlington County,900,N QUINCY ST,FAIRFAX DR,9th ST N,,SOUTH TO EAST,,1970/01/02 00:00:00+00,2015/11/16 00:00:00+00,No,20,,POM,,Virginia Square,Double,,East,,No,,,,,,,,,,1970/01/02 00:00:00+00,0,2019/05/09 11:43:36+00,2024/09/23 10:17:49+00,2024/10/13 02:10:31+00,38.88173715,-77.10760646,,NQUFA9TE,No,54177,1,,,147909
11885484.6713888,6992572.27944314,3,2761,Permanently Removed,QU2707S,QU2709S,Arlington County,2700,S QUINCY ST,S ARLINGTON MILL DR,CAMPBELL AVE,,28 TO CAMPBELL,,1970/01/02 00:00:00+00,1970/01/02 00:00:00+00,No,20,,Duncan,,Shirlington,Double,,East,,No,,,,,,,,,,1970/01/02 00:00:00+00,0,2019/05/09 11:43:34+00,2024/09/23 10:19:06+00,2024/10/13 02:10:31+00,38.84140557,-77.08657001,,,No,2201,1,,,727771
11883739.9268468,7010077.70571831,4,1622,Active,ED1405N,ED1403N,Arlington County,1400,N EDGEWOOD ST,WILSON BLVD,FRANKLIN RD,54275 - ED1405N,,INSTALLED IPS 2/14/18,2018/02/14 00:00:00+00,,No,20,2,IPS,M5,Clarendon,Double,Yes,East,1.75,No,MON - SAT 8AM - 8PM,,,,96.78,,,,,2018/02/14 00:00:00+00,0,2019/05/09 11:43:05+00,2024/10/13 01:01:19+00,2024/10/13 02:10:31+00,38.88953901,-77.09175216,,NEDWIFRE,Yes,54275,1,Zone 120,B,1115796
11894247.9501221,6998063.83735764,5,1745,Active,FE01901S,,Arlington County,1900,S FERN ST,19th ST S,20th ST S,54057 - FE01901S,,INSTALLED 4/2/11,2011/04/02 00:00:00+00,,No,147.6,12,CALE,CWT-S4-Touch Stealth,Crystal City,Multi,No,East,1.50,No,MON - FRI 8AM - 8PM,,,,90.64,,,,,2021/06/28 00:00:00+00,4.25,2019/05/09 11:43:08+00,2024/10/13 01:01:19+00,2024/10/13 02:10:31+00,38.85610772,-77.05550351,,SFE1920E,Yes,54057,7.3800001,Zone 155,A,1853941
11895942.56878,6997205.71702665,6,1329,Permanently Removed,CR2220S,CR2222S,Arlington County,2200,CRYSTAL DR,20th ST S,23rd ST S,,Multi 1/15/16,,1970/01/02 00:00:00+00,1970/01/02 00:00:00+00,No,20,,POM,,Crystal City,Double,,West,,No,,,,,,,,,,1970/01/02 00:00:00+00,0,2019/05/09 11:42:59+00,2024/09/23 10:19:06+00,2024/10/13 02:10:31+00,38.85367847,-77.04960101,,SCR2023W,No,54066,1,,,2179025
11883108.9392636,7009499.7012969,7,1944,Active,GA1305N,,Arlington County,1300,N GARFIELD ST,WILSON BLVD,CLARENDON BLVD,54261 - GA1305N,CONVERTED TO IPS 01/11/2017 WEST TO EAST,INSTALL DATE- UNKOWN,2017/01/11 00:00:00+00,,No,20,2,IPS,M5,Clarendon,Single,Yes,East,1.75,No,MON - SAT 8AM - 8PM,,,,97.54,,,,,2018/10/29 00:00:00+00,0,2019/05/09 11:43:13+00,2024/10/13 01:01:19+00,2024/10/13 02:10:31+00,38.8879787,-77.09399981,,NGAWICLE,Yes,54261,1,Zone 121,B,4291646
11884970.3200553,7000306.94573231,8,1957,Permanently Removed,GA904S,GA906S,Arlington County,900,S GARFIELD ST,9th RD S,COLUMBIA PIKE,,,INSTALL DATE- UNKNOWN,1970/01/02 00:00:00+00,1970/01/02 00:00:00+00,No,20,,Duncan,,Columbia Pike,Double,,East,,No,,,,,,,,,,1970/01/02 00:00:00+00,0,2019/05/09 11:43:14+00,2024/09/23 10:19:06+00,2024/10/13 02:10:31+00,38.86266231,-77.08795796,,,No,54570,1,,,4577401
11888856.0370214,7011905.95009331,9,2584,Permanently Removed,OA1705N,OA1703N,Arlington County,1700,N OAK ST,17th ST N,CLARENDON BLVD,,"7/26/18 PERM REM FOR CAR SHARE, KEY TO 17, WILSON TO CLARENDON",INSTALLED IPS 10/30/17,2017/10/30 00:00:00+00,1970/01/02 00:00:00+00,No,20,2,IPS,,Rosslyn,Double,,East,1.75,No,NO RESTRICTIONS,,,,30.99,,,,,2017/10/30 00:00:00+00,0,2019/05/09 11:43:30+00,2024/09/23 10:25:13+00,2024/10/13 02:10:31+00,38.89434141,-77.07368036,,,No,54537,1,,,4717412
11878853.0836021,7008680.04939289,10,3163,Permanently Removed,WA4010N,WA4008N,Arlington County,4000,WASHINGTON BLVD,N RANDOLPH ST,N QUINCY ST,,3:30 to 6,CONVERTED TO CALE 3/3/18,1970/01/02 00:00:00+00,1970/01/02 00:00:00+00,No,20,,Duncan,,Ballston,Double,,North,,No,,,,,,,,,,1970/01/02 00:00:00+00,0,2019/05/09 11:43:44+00,2024/09/23 10:19:06+00,2024/10/13 02:10:31+00,38.88590642,-77.10899329,,NWARAQUN,No,54173,1,,,4970056
11887263.7619907,7011603.72924106,11,3242,Active,WI01800N,,Arlington County,1800,WILSON BLVD,N QUINN ST,N RHODES ST,54500 - WI01800N,,INSTALLED 4/9/11,2011/04/09 00:00:00+00,,No,56,2,CALE,CWT-S4-Touch Stealth,Rosslyn,Multi,No,South,1.75,No,MON - SAT 8AM - 8PM,,,,96.64,,,,,2021/09/27 00:00:00+00,3.25,2019/05/09 11:43:46+00,2024/10/13 01:01:19+00,2024/10/13 02:10:31+00,38.89357949,-77.07929056,,NWIQURHS,Yes,54500,2.8,Zone 110,B,6018135
